tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total cell count,Trans. 700 nm,LED 3 [525 nm],LED 4 [570 nm],LED 5 [610 nm],LED 6 [370 nm],LED 7 [590 nm],LED 8 [470 nm],Pressure,Temp. LEDs,Temp. Sensor
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,cells/ml,r.u.,cells/ml,digits,digits,digits,digits,digits,digits,digits,bar,°C,°C
1,2018-07-30 12:15,16.92,1.53,0,0.43,1.52,18.88,86.01,0.26,24.4,8970,1525,0,13,0,0,0,0,10509,526.19,16.41,6.52,16.39,43.4,21.9,64.82,1.03,25.79,24.83
2,2018-07-30 12:15,28.33,1.15,0,0.17,1.97,29.64,85.11,0.28,24.59,15014,1148,0,5,0,0,0,0,16168,520.7,20.98,9.12,21.03,63.41,27.19,99.7,1.03,26,25.2
3,2018-07-30 12:15,17.5,0.67,0,0.68,1.79,18.85,85.63,0.27,24.65,9274,667,0,20,0,0,0,0,9961,523.84,17.44,6.16,14.69,47.21,20.53,69.86,1.03,26.1,25.4
4,2018-07-30 12:15,23.13,1.01,0,0.63,1.77,24.77,84.56,0.26,24.71,12261,1007,0,19,0,0,0,0,13288,517.34,20.01,7.36,18.65,54.76,25.39,85.32,1.03,26.18,25.45
5,2018-07-30 12:15,7.9,0.56,1.85,0.37,1.84,10.68,85.46,0.26,24.85,4185,558,833,11,0,0,0,0,5588,522.81,15.88,4.06,10.09,37.13,13.61,48.9,1.03,26.3,25.83
6,2018-07-30 12:15,8.25,0.15,0,1.51,1.88,9.91,85.07,0.25,24.89,4373,149,0,45,0,0,0,0,4567,520.46,16.49,4.64,10.18,37.25,16.36,48.66,1.02,26.32,25.81
7,2018-07-30 12:15,23.6,0.49,0,0,1.48,24.09,84.98,0.26,24.92,12509,489,0,0,0,0,0,0,12999,519.91,15.92,6.8,15.85,50.36,20.25,80.75,1.03,26.45,25.89
8,2018-07-30 12:15,20.02,1,0,0.52,1.33,21.54,85.32,0.27,24.98,10610,996,0,16,0,0,0,0,11621,521.95,16.66,8.1,16.07,45.14,22.47,71.81,1.03,26.4,26.13
9,2018-07-30 12:15,13,0.66,2.25,0.1,1.42,16.01,85.98,0.26,25,6889,659,1012,3,0,0,0,0,8563,525.99,16.9,4.76,12.63,39.22,16.1,59.42,1.03,26.41,26.24
10,2018-07-30 12:15,6.77,0.89,1.17,0.27,1.52,9.09,86.6,0.27,25.05,3587,890,525,8,0,0,0,0,5010,529.79,13.1,3.16,9.27,30.69,13.06,39.78,1.03,26.64,26.38
11,2018-07-30 12:15,15.26,0.09,0,0.49,1.71,15.84,85.52,0.25,25.19,8089,86,0,15,0,0,0,0,8190,523.19,14.79,5.39,11.03,42.56,15.89,61.86,1.02,26.51,26.57
12,2018-07-30 12:15,22.97,0.86,0,0.19,1.62,24.01,85.09,0.25,25.17,12175,856,0,6,0,0,0,0,13037,520.59,17.38,6.53,16.28,51.7,23.04,81.3,1.02,26.58,26.69
13,2018-07-30 12:15,17.21,0.88,0,0.34,1.53,18.43,85.46,0.25,25.26,9122,877,0,10,0,0,0,0,10009,522.81,15.59,4.99,14.14,43.12,19.38,65.04,1.02,26.64,26.8
14,2018-07-30 12:15,7.47,0,3.61,0.24,1.41,11.32,86.83,0.25,25.33,3959,0,1623,7,0,0,0,0,5590,531.22,16.83,4.35,8.26,33.65,12.06,49.34,1.02,26.66,27.09
15,2018-07-30 12:15,26.67,0.21,0,0.45,1.48,27.33,84.92,0.26,25.44,14133,215,0,14,0,0,0,0,14362,519.53,19.48,5.59,17.33,55.05,23.96,91.38,1.03,26.72,27.07
16,2018-07-30 12:15,14.78,0.68,0,0.66,1.77,16.13,86.09,0.25,25.45,7835,684,0,20,0,0,0,0,8539,526.69,16.29,5.2,13.41,43.3,18.48,62.03,1.02,26.77,27.08
17,2018-07-30 12:15,15.02,0.56,0,0.13,1.14,15.71,87.07,0.27,25.38,7961,556,0,4,0,0,0,0,8521,532.7,12.35,4.42,11.14,34.91,15.33,54.12,1.03,26.75,27.18
18,2018-07-30 12:15,11.32,0.97,0,0.39,1.75,12.68,86.28,0.27,25.51,5997,967,0,12,0,0,0,0,6976,527.82,13.64,4.92,11.21,38.09,16.39,51,1.03,26.79,27.41
19,2018-07-30 12:15,31.15,0.83,0,0,1.64,31.98,83.55,0.25,25.5,16510,827,0,0,0,0,0,0,17337,511.15,19.73,7.38,20.98,62.75,27.15,103.55,1.02,26.79,27.44
20,2018-07-30 12:15,4.69,1.41,0.81,0.05,2.01,6.96,86.72,0.25,25.49,2486,1414,365,1,0,0,0,0,4266,530.56,12.41,3.67,9.59,33.13,12.32,36.51,1.02,26.87,27.51
21,2018-07-30 12:15,11.76,0.83,0.34,0.34,1.76,13.28,86.75,0.25,25.64,6231,835,155,10,0,0,0,0,7231,530.74,14.63,5.07,12.3,39.09,15.17,53.29,1.02,26.85,27.81
22,2018-07-30 12:15,29.05,0.75,0,0.32,1.87,30.11,85.25,0.27,25.69,15394,746,0,9,0,0,0,0,16149,521.54,21.41,7.84,20.47,63.06,26.87,101.27,1.03,26.98,27.87
23,2018-07-30 12:15,13.01,1.06,0,0.18,1.29,14.24,86.94,0.26,25.68,6893,1055,0,5,0,0,0,0,7954,531.87,12.67,4.51,12.01,34.44,16.1,50.33,1.03,26.99,27.97
24,2018-07-30 12:15,13.96,1.07,0,0.27,2.35,15.31,85.97,0.25,25.72,7399,1073,0,8,0,0,0,0,8481,525.92,16.11,5.81,13.52,48.59,18.04,63.6,1.02,27.01,27.89
25,2018-07-30 12:15,15.08,1.02,0,0.37,1.64,16.47,86.64,0.24,25.75,7992,1021,0,11,0,0,0,0,9024,530.03,14.98,6.58,13.72,41.91,18.44,60.37,1.02,27.03,27.97
26,2018-07-30 12:15,2.54,1.46,0,0.56,2.09,4.56,86.62,0.27,25.77,1348,1457,0,17,0,0,0,0,2822,529.95,12.05,5.03,9.56,31.03,12.43,30.66,1.03,27.06,28.02
27,2018-07-30 12:15,18.35,1.27,0,0.4,1.79,20.01,86.33,0.25,25.78,9724,1272,0,12,0,0,0,0,11007,528.17,17.63,6.45,17.16,48.16,21.3,71.1,1.02,27.02,28.08
28,2018-07-30 12:15,3.37,0.85,1.11,0,1.46,5.33,86.6,0.26,25.86,1787,850,501,0,0,0,0,0,3137,529.8,10.14,3.04,6.98,24.72,8.73,28.19,1.03,27.03,28.22
29,2018-07-30 12:15,18.64,1.09,0,0.72,1.76,20.45,85.84,0.26,25.96,9881,1094,0,21,0,0,0,0,10996,525.16,18.65,6.79,17.19,48.84,22.64,73.13,1.03,27.11,28.33
30,2018-07-30 12:15,19.51,1.19,0,0.38,1.59,21.07,85.53,0.27,25.98,10341,1186,0,11,0,0,0,0,11538,523.26,16.93,5.91,15.79,47.32,22.99,72.35,1.03,27.13,28.39
31,2018-07-30 12:15,11.74,0,0,0.9,1.42,12.64,87.11,0.26,25.88,6223,0,0,27,0,0,0,0,6250,532.91,14.37,4.8,10.13,34.98,14.32,51.05,1.03,27.15,28.46
32,2018-07-30 12:15,21.06,0.1,0,0.82,1.59,21.98,85.92,0.25,26.02,11162,95,0,25,0,0,0,0,11282,525.61,18.51,6.8,15.33,49.58,20.95,78.4,1.02,27.24,28.42
33,2018-07-30 12:15,15.48,0,0,1.1,1.32,16.58,86.39,0,26.02,8203,0,0,33,0,0,0,0,8236,528.52,16.77,5.36,12.22,39.15,17.83,61.56,1.02,27.34,28.64
34,2018-07-30 12:15,18.33,1.01,0,0,1.46,19.34,86.15,0.26,26.06,9715,1007,0,0,0,0,0,0,10721,527.07,14.4,6.12,14.75,43.26,18.44,65.93,1.03,27.36,28.65
35,2018-07-30 12:15,10.31,1.36,0.77,0.64,1.98,13.08,86.2,0.24,26.08,5464,1357,349,19,0,0,0,0,7189,527.37,17.22,6.16,14.62,41.47,17.92,54.5,1.02,27.35,28.72
36,2018-07-30 12:15,11.9,0,0,0.77,1.9,12.67,86.25,0.25,26.04,6309,0,0,23,0,0,0,0,6332,527.68,14.99,5.15,9.64,40.75,14.6,55.61,1.02,27.33,28.75
37,2018-07-30 12:15,9.49,0.99,0,0.72,1.92,11.21,86.81,0.26,26.15,5031,994,0,22,0,0,0,0,6047,531.06,14.86,5.11,11.81,38.35,16.42,49.08,1.03,27.53,28.73
38,2018-07-30 12:15,22.51,1.86,0,0.19,1.82,24.56,84.7,0.25,26.25,11930,1861,0,6,0,0,0,0,13797,518.16,18.52,8.38,19.14,54.34,26.83,82.29,1.02,27.34,28.79
39,2018-07-30 12:15,14.05,0.44,0,1.02,1.87,15.51,86.75,0.25,26.18,7448,438,0,31,0,0,0,0,7916,530.69,17.4,5.48,13.17,44.14,18.91,62.6,1.02,27.38,28.96
40,2018-07-30 12:15,12.86,0.86,0,0.3,1.78,14.02,86.59,0,26.25,6818,857,0,9,0,0,0,0,7684,529.75,14.14,5.92,12.41,40.31,15.67,55.17,1.02,27.36,29.1
41,2018-07-30 12:15,17.67,0,0,1.2,1.17,18.87,86.93,0.26,26.24,9364,0,0,36,0,0,0,0,9400,531.82,18.28,6.24,12.72,40.25,19.46,66.91,1.03,27.5,28.97
42,2018-07-30 12:15,11.72,0.91,1.43,0,1.28,14.06,87.09,0.24,26.24,6213,906,643,0,0,0,0,0,7763,532.77,14.17,4.26,11.84,34.43,14.75,51.06,1.02,27.4,29.14
43,2018-07-30 12:15,8.09,0.57,0.57,0.5,1.7,9.73,86.67,0.25,26.24,4288,565,256,15,0,0,0,0,5124,530.21,13.59,4.27,9.77,33.88,12.8,43.91,1.02,27.51,29.09
44,2018-07-30 12:15,2.32,0.79,0,1.32,1.89,4.43,85.84,0.24,26.37,1231,795,0,39,0,0,0,0,2065,525.17,13.72,5.18,8.91,29.47,13.37,31.43,1.02,27.52,29.09
45,2018-07-30 12:15,3.84,1.26,0.63,0,1.18,5.73,87.09,0.25,26.3,2036,1262,283,0,0,0,0,0,3581,532.78,9.1,3.41,8.02,21.55,9.89,25.16,1.02,27.51,29.39
46,2018-07-30 12:15,14.97,0.76,0.13,0.05,1.47,15.91,85.81,0.25,26.41,7935,756,61,1,0,0,0,0,8754,524.95,13.62,4.71,12.58,38.98,15.41,57.37,1.02,27.49,29.17
47,2018-07-30 12:15,8.57,0.05,0,1.17,1.48,9.79,86.66,0.24,26.37,4543,49,0,35,0,0,0,0,4627,530.15,14.09,3.94,8.88,32.01,14.29,44,1.02,27.53,29.23
48,2018-07-30 12:15,16.9,1.08,0,0.11,1.5,18.08,85.45,0.25,26.4,8955,1075,0,3,0,0,0,0,10033,522.76,14.65,6.11,14.54,42.08,18.17,62.86,1.02,27.51,29.42