Timestamp,Specific Conductance (uS/cm),TDS (g/L),Dissolved Oxygen (mg/L),ORP_1 (mV),pH,Temperature (C),Tank
9/5/18 6:32,229.6,0.1495,8.35,154.3,8.85,18.2,T22
9/5/18 6:32,211.8,0.1378,7.89,156.9,8.69,17.6,T20
9/5/18 6:33,181.4,0.1177,9.13,155.4,8.91,17.1,T18
9/5/18 6:34,174.9,0.1138,8.73,157.9,8.78,17,T16
9/5/18 6:34,157.2,0.1021,9.33,157.6,8.82,15.6,T14
9/5/18 6:36,176.8,0.1151,8.86,159.5,8.93,17,T29
9/5/18 6:36,166.5,0.1079,9.08,159.5,8.89,16.2,T31
9/5/18 6:37,163.4,0.106,9.2,163,8.85,16.2,T33
9/5/18 6:38,245.6,0.1599,7.31,164,8.67,19.1,T35
9/5/18 6:38,190.3,0.1235,8.72,162.6,8.74,18.1,T37
9/5/18 6:39,187.7,0.1222,8.89,162.3,8.87,17.3,T39
9/5/18 6:40,176.8,0.1151,9.2,163.9,8.89,16.5,T40
9/5/18 6:41,227.3,0.1475,7.58,168.2,8.73,19.3,T38
9/5/18 6:41,192.9,0.1255,8.38,165.4,8.79,18.3,T36
9/5/18 6:42,168,0.1092,9.28,162,9.03,17.4,T34
9/5/18 6:43,207.2,0.1345,7.97,165.7,8.89,19.1,T32
9/5/18 6:43,198.6,0.1293,8.39,164.9,8.85,18.1,T30
9/5/18 6:44,151,0.0981,9.49,163.6,9,16.1,T41
9/5/18 6:45,226.9,0.1475,7.81,168.9,8.82,19.4,T43
9/5/18 6:46,177.1,0.1151,8.74,165.3,8.87,17.4,T45
9/5/18 6:46,170.3,0.1105,9.17,165.3,8.94,16.5,T47
9/5/18 6:47,220,0.143,7.69,170.1,8.64,19.4,T48
9/5/18 6:47,210.4,0.1365,8.47,166.1,9.03,18.1,T46
9/5/18 6:48,213,0.1385,8.37,167.8,8.93,18,T44
9/5/18 6:49,178.1,0.1157,8.5,166.9,8.88,17.2,T42
9/5/18 6:50,1.2,0.0007,8.16,168.8,8.83,15.6,Air
9/5/18 20:18,0.7,0.0007,10.54,269.5,6.79,20.6,Air
9/5/18 20:19,182.5,0.119,10.65,127.7,9.16,23.5,T1
9/5/18 20:20,177,0.1151,10.43,133.6,9.09,22.2,T3
9/5/18 20:20,224.2,0.1456,9.49,168,8.83,24.6,T5
9/5/18 20:21,196.1,0.1274,10.95,171.7,9.23,23.7,T7
9/5/18 20:22,169.4,0.1099,10.1,213.3,9,22.4,T9
9/5/18 20:22,231.3,0.1502,9.5,214.8,9,26.6,T11
9/5/18 20:23,213,0.1385,9.55,265.4,8.93,25.3,T12
9/5/18 20:23,183.3,0.119,9.89,258.6,8.97,23.3,T10
9/5/18 20:24,180.4,0.117,9.86,295,8.9,22.9,T8
9/5/18 20:25,217.8,0.1417,9.02,285.5,8.75,25.2,T6
9/5/18 20:25,199.5,0.1293,9.87,311.2,8.98,25.4,T4
9/5/18 20:26,196.4,0.1274,10.59,296,9.15,24.3,T2
9/5/18 20:26,181.2,0.1177,9.89,291.2,9.1,25.3,T13
9/5/18 20:27,196,0.1274,10.87,288.6,9.22,24.3,T15
9/5/18 20:28,162.1,0.1053,10.62,307.9,9.09,21.9,T17
9/5/18 20:28,211.6,0.1378,9.23,307.4,8.92,25.4,T19
9/5/18 20:29,199.2,0.1293,10.13,315.3,9.02,23.5,T21
9/5/18 20:29,168.5,0.1092,10.58,329.6,9.11,22.1,T23
9/5/18 20:30,179.1,0.1164,9.9,336.8,9.03,24.7,T25
9/5/18 20:31,181.3,0.1177,10.45,325.2,9.25,24.3,T27
9/5/18 20:31,180.6,0.1177,10.15,349.7,9,23,T28
9/5/18 20:32,263.9,0.1716,9.25,343.7,8.91,25.7,T26
9/5/18 20:33,247.1,0.1605,8.92,344.1,8.87,26.5,T24
9/5/18 20:33,232.6,0.1514,9.58,335.7,8.96,24.7,T22
9/5/18 20:34,210.8,0.1371,9.42,352.2,8.8,24.3,T20
9/5/18 20:34,182.8,0.119,10.07,347.8,8.97,23,T18
9/5/18 20:35,176.8,0.1151,9.78,359.5,8.84,22.8,T16
9/5/18 20:35,158.7,0.1033,10.43,352,8.91,21.2,T14
9/5/18 20:36,177.8,0.1157,9.78,347.2,8.96,22.7,T29
9/5/18 20:37,167,0.1085,10.05,345.3,8.94,21.5,T31
9/5/18 20:37,162.8,0.106,10.07,366,8.91,21.6,T33
9/5/18 20:38,246.6,0.1605,8.61,359.2,8.75,25.7,T35
9/5/18 20:38,193.7,0.1261,9.88,350.5,8.92,24.7,T37
9/5/18 20:39,189.3,0.1228,10.23,346.7,9.01,24,T39
9/5/18 20:40,179.7,0.117,10.2,379.6,8.96,22.7,T40
9/5/18 20:40,227.1,0.1475,9.19,374.4,8.85,25.9,T38
9/5/18 20:41,200,0.13,9.55,377.8,8.87,24.5,T36
9/5/18 20:42,166.6,0.1085,10.37,361.5,9.14,23.1,T34
9/5/18 20:42,210.7,0.1371,9.5,370.6,9,25.7,T32
9/5/18 20:43,198,0.1287,9.57,362.6,8.92,24,T30
9/5/18 20:44,159.3,0.1033,10.26,361,9.02,21.5,T41
9/5/18 20:45,229.5,0.1489,9.1,361.6,8.9,26.1,T43
9/5/18 20:45,176.2,0.1144,9.7,371.1,8.9,23.3,T45
9/5/18 20:46,173,0.1124,9.95,365.5,8.97,22.8,T47
9/5/18 20:46,221.3,0.1437,9.09,381.4,8.82,26.2,T48
9/5/18 20:47,204.9,0.1333,10.24,362.9,9.15,24.5,T46
9/5/18 20:48,213.8,0.1391,9.68,368.4,9.01,24.8,T44
9/5/18 20:48,184.2,0.1196,9.55,362.8,8.94,23,T42
9/5/18 20:49,0.2,0,8.43,346,8.94,19.4,Air
9/6/18 6:05,0.2,0,10.7,216.7,6.76,15.1,Air
9/6/18 6:06,184.2,0.1196,9.02,180.5,9.09,18.2,T1
9/6/18 6:06,176.4,0.1144,9.21,185.8,9.05,17.6,T3
9/6/18 6:07,224.8,0.1463,7.81,202,8.7,19.2,T5
9/6/18 6:08,193.9,0.1261,9.22,200.9,9.1,18.6,T7
9/6/18 6:08,170.8,0.1112,9.09,205.8,8.93,17.5,T9
9/6/18 6:09,235,0.1528,7.46,209.8,8.84,20.3,T11
9/6/18 6:10,221.3,0.1437,7.59,210.2,8.82,19.4,T12
9/6/18 6:11,182.8,0.119,8.58,208.7,8.87,18.3,T10
9/6/18 6:11,182,0.1183,8.64,210.5,8.82,17.7,T8
9/6/18 6:12,221.6,0.1443,7.57,212.5,8.63,19.9,T6
9/6/18 6:13,199.3,0.1293,7.99,211.4,8.84,19.8,T4
9/6/18 6:13,197.6,0.1287,8.57,210.3,9.04,18.7,T2
9/6/18 6:14,185.5,0.1203,7.88,209.5,8.95,19.9,T13
9/6/18 6:15,196.7,0.1281,8.82,209.9,9.14,19.2,T15
9/6/18 6:16,163,0.106,9.28,209.9,9.03,17.5,T17
9/6/18 6:17,216.3,0.1404,7.44,212.4,8.8,20.1,T19
9/6/18 6:17,201.1,0.1307,8.62,211.7,8.92,18.3,T21
9/6/18 6:18,170.4,0.1105,9.21,209.7,9.03,17.4,T23
9/6/18 6:18,183.9,0.1196,8.16,211.8,8.89,19.3,T25
9/6/18 6:19,182.4,0.1183,8.88,210.2,9.15,18.6,T27
9/6/18 6:20,181.9,0.1183,8.8,213.8,8.89,17.8,T28
9/6/18 6:20,269.5,0.1755,6.82,217.4,8.72,19.8,T26
9/6/18 6:21,250.3,0.1625,6.83,216.3,8.64,20.6,T24
9/6/18 6:22,232.4,0.1508,8.04,212.7,8.82,19.5,T22
9/6/18 6:23,212.4,0.1378,7.6,215,8.63,18.9,T20
9/6/18 6:23,186.3,0.1209,8.88,212.9,8.91,18.3,T18
9/6/18 6:24,178.7,0.1164,8.58,214.6,8.76,18.2,T16
9/6/18 6:24,158.4,0.1027,9.33,213.8,8.79,16.6,T14
9/6/18 6:25,178.8,0.1164,8.67,214.6,8.86,18.1,T29
9/6/18 6:25,167.5,0.1092,9.03,214,8.85,17.1,T31
9/6/18 6:26,164.3,0.1066,9.11,215.1,8.86,17.2,T33
9/6/18 6:27,247.8,0.1612,7.26,221,8.57,20.1,T35
9/6/18 6:27,196.2,0.1274,8.17,216.3,8.75,19.5,T37
9/6/18 6:28,192.5,0.1255,8.58,215.8,8.85,18.6,T39
9/6/18 6:29,179.7,0.117,9.1,216.5,8.82,17.6,T40
9/6/18 6:29,228.3,0.1482,7.22,219,8.7,20.6,T38
9/6/18 6:30,200.6,0.1307,8.06,217,8.78,19.5,T36
9/6/18 6:31,168.4,0.1092,9.04,213.7,9.04,18.6,T34
9/6/18 6:31,212.4,0.1378,7.79,216.9,8.86,20.3,T32
9/6/18 6:32,199.4,0.1293,8.2,216.3,8.81,19.3,T30
9/6/18 6:33,159.6,0.104,9.37,214,9,17.1,T41
9/6/18 6:33,230.4,0.1495,7.43,217.2,8.81,20.7,T43
9/6/18 6:34,175.5,0.1144,8.56,215.4,8.79,18.5,T45
9/6/18 6:35,174.4,0.1131,8.97,214.8,8.91,17.7,T47
9/6/18 6:36,225.9,0.1469,7.25,220.5,8.64,20.7,T48
9/6/18 6:36,207.2,0.1345,8.12,215.5,8.97,19.4,T46
9/6/18 6:37,215.1,0.1398,8,216.4,8.89,19.3,T44
9/6/18 6:37,184.6,0.1203,8.33,215.5,8.83,18.4,T42
9/6/18 6:38,0.2,0,8.96,210,8.87,14.7,Air
6/6/18 4:12,,,9.7,,,16.4,air
6/6/18 4:13,,,7.58,,,17.9,1
6/6/18 4:14,,,7.48,,,17,3
6/6/18 4:15,,,7.11,,,18.7,5
6/6/18 4:16,,,7.27,,,17.7,7
6/6/18 4:22,,,7.75,,,16.5,9
6/6/18 4:23,,,6.93,,,19.9,11
6/6/18 4:24,,,7.03,,,19.3,13
6/6/18 4:25,,,7.23,,,18.5,15
6/6/18 4:26,,,7.65,,,17,17
6/6/18 4:27,,,7.18,,,19.5,19
6/6/18 4:28,,,7.39,,,18,21
6/6/18 4:29,,,7.56,,,16.7,23
6/6/18 4:30,,,7.14,,,18.8,25
6/6/18 4:31,,,7.31,,,18,27
6/6/18 4:34,,,10.24,,,12.1,air
6/6/18 4:35,,,7.52,,,17.5,29
6/6/18 4:36,,,7.77,,,16.7,31
6/6/18 4:37,,,7.73,,,16.7,33
6/6/18 4:38,,,6.96,,,19.9,35
6/6/18 4:39,,,7.1,,,19.9,37
6/6/18 4:40,,,7.43,,,17.9,39
6/6/18 4:41,,,7.71,,,16.5,41
6/6/18 4:42,,,6.99,,,19.9,43
6/6/18 4:43,,,7.29,,,18.1,45
6/6/18 4:44,,,7.32,,,16.9,47
6/6/18 4:45,,,10.37,,,12.5,air
6/6/18 4:46,,,7.06,,,18.2,2
6/6/18 4:47,,,7.07,,,19.2,4
6/6/18 4:48,,,7.11,,,19.1,6
6/6/18 4:49,,,7.44,,,16.8,8
6/6/18 4:50,,,7.32,,,17.5,10
6/6/18 4:51,,,7.19,,,18.6,12
6/6/18 4:52,,,7.86,,,16.3,14
6/6/18 4:53,,,7.45,,,17.5,16
6/6/18 4:54,,,7.46,,,17.4,18
6/6/18 4:55,,,7.36,,,18.3,20
6/6/18 4:56,,,7.3,,,18.8,22
6/6/18 4:57,,,7.04,,,19.8,24
6/6/18 4:58,,,7.13,,,19.5,26
6/6/18 4:59,,,7.68,,,16.8,28
6/6/18 5:00,,,10.63,,,12.2,air
6/6/18 5:01,,,7.35,,,18.3,30
6/6/18 5:02,,,7.08,,,19.5,32
6/6/18 5:03,,,7.5,,,17.7,34
6/6/18 5:04,,,7.17,,,18.7,36
6/6/18 5:05,,,7.01,,,19.6,38
6/6/18 5:06,,,7.63,,,16.7,40
6/6/18 5:07,,,7.6,,,17.3,42
6/6/18 5:08,,,7.04,,,18.4,44
6/6/18 5:09,,,7.24,,,18.5,46
6/6/18 5:10,,,7.16,,,19.8,48
6/6/18 21:38,,,7.29,,,24.4,11
6/6/18 21:39,,,7.52,,,23.4,12
6/6/18 21:40,,,7.51,,,22.7,27
6/6/18 21:41,,,11.06,,,15.4,air
6/6/18 21:42,,,7.75,,,21.7,28
6/6/18 21:43,,,7.49,,,24.1,26
6/6/18 21:44,,,7.45,,,23.1,25
6/6/18 21:45,,,7.76,,,21.2,9
6/6/18 21:46,,,7.5,,,22.2,10
6/6/18 21:47,,,7.57,,,21.2,23
6/6/18 21:48,,,7.34,,,24,24
6/6/18 21:49,,,7.63,,,22.4,39
6/6/18 21:50,,,7.77,,,21.3,40
6/6/18 21:51,,,9.91,,,14.9,air
6/6/18 21:52,,,7.35,,,21.4,47
6/6/18 21:53,,,7.37,,,23.9,48
6/6/18 21:54,,,7.44,,,22.7,46
6/6/18 21:55,,,7.48,,,22.1,45
6/6/18 21:56,,,7.27,,,23.8,38
6/6/18 21:57,,,7.42,,,23,37
6/6/18 21:58,,,7.53,,,23,22
6/6/18 21:59,,,7.45,,,22.2,21
6/6/18 22:00,,,7.22,,,22,7
6/6/18 22:01,,,7.55,,,21.2,8
6/6/18 22:02,,,7.32,,,23.3,19
6/6/18 22:03,,,7.55,,,22.6,20
6/6/18 22:04,,,7.13,,,23.6,35
6/6/18 22:05,,,7.31,,,22.7,36
6/6/18 22:06,,,7.21,,,23.6,43
6/6/18 22:07,,,7.27,,,22.7,44
6/6/18 22:15,,,9.86,,,15.1,air
6/6/18 22:16,,,7.68,,,21.5,42
6/6/18 22:17,,,7.77,,,20.6,41
6/6/18 22:18,,,7.6,,,21.8,34
6/6/18 22:19,,,7.8,,,20.8,33
6/6/18 22:20,,,7.62,,,21.6,18
6/6/18 22:21,,,7.64,,,20.9,17
6/6/18 22:22,,,7.29,,,23,6
6/6/18 22:23,,,7.17,,,22.6,5
6/6/18 22:24,,,7.38,,,21.1,3
6/6/18 22:25,,,7.27,,,23.1,4
6/6/18 22:26,,,7.42,,,22.3,15
6/6/18 22:27,,,7.61,,,21.5,16
6/6/18 22:28,,,7.84,,,20.6,31
6/6/18 22:29,,,7.29,,,23.3,32
6/6/18 22:33,,,11.36,,,15.8,air
6/6/18 22:34,,,8.4,,,22.1,30
6/6/18 22:35,,,8.56,,,21.4,29
6/6/18 22:36,,,8.88,,,20.6,14
6/6/18 22:37,,,8.17,,,22.9,13
6/6/18 22:38,,,8.21,,,22.3,2
6/6/18 22:39,,,8.37,,,21.9,1
6/6/18 22:40,,,11.15,,,15.3,air
6/7/18 5:05,,,7.6,,,18.9,1
6/7/18 5:06,,,7.59,,,18.1,3
6/7/18 5:07,,,7.33,,,19.5,5
6/7/18 5:08,,,7.4,,,18.8,7
6/7/18 5:09,,,7.9,,,17.8,9
6/7/18 5:10,,,7.24,,,20.6,11
6/7/18 5:11,,,10.11,,,14.5,air
6/7/18 5:12,,,7.36,,,19.9,13
6/7/18 5:13,,,7.58,,,19.3,15
6/7/18 5:14,,,7.9,,,18,17
6/7/18 5:15,,,7.45,,,20.1,19
6/7/18 5:16,,,7.58,,,18.9,21
6/7/18 5:17,,,7.75,,,17.9,23
6/7/18 5:18,,,7.47,,,19.7,25
6/7/18 5:19,,,7.56,,,19.1,27
6/7/18 5:20,,,10.94,,,13.2,air
6/7/18 5:21,,,7.77,,,18.4,29
6/7/18 5:22,,,8.05,,,17.7,31
6/7/18 5:23,,,8.08,,,17.7,33
6/7/18 5:24,,,7.25,,,20.4,35
6/7/18 5:25,,,7.53,,,19.7,37
6/7/18 5:26,,,7.72,,,18.9,39
6/7/18 5:27,,,10.82,,,13.2,air
6/7/18 5:28,,,7.63,,,19.1,30
6/7/18 5:29,,,7.39,,,20.2,32
6/7/18 5:30,,,7.79,,,18.6,34
6/7/18 5:31,,,7.45,,,19.5,36
6/7/18 5:32,,,7.36,,,20.4,38
6/7/18 5:33,,,7.92,,,17.9,40
6/7/18 5:34,,,10.99,,,12.9,air
6/7/18 5:35,,,7.86,,,18.3,42
6/7/18 5:36,,,7.38,,,19.3,44
6/7/18 5:37,,,7.51,,,19.3,46
6/7/18 5:38,,,7.44,,,20.4,48
6/7/18 5:39,,,10.14,,,13.3,air
6/7/18 5:40,,,7.95,,,17.3,41
6/7/18 5:41,,,7.28,,,20.3,43
6/7/18 5:42,,,7.6,,,18.8,45
6/7/18 5:43,,,7.65,,,17.9,47
6/7/18 5:44,,,10.89,,,12.9,air
6/7/18 5:45,,,8.07,,,17.3,14
6/7/18 5:46,,,7.77,,,18.3,16
6/7/18 5:47,,,7.8,,,18.4,18
6/7/18 5:48,,,7.65,,,19.1,20
6/7/18 5:49,,,7.58,,,19.5,22
6/7/18 5:50,,,7.42,,,20.3,24
6/7/18 5:51,,,7.48,,,20.2,26
6/7/18 5:52,,,7.9,,,18,28
6/7/18 5:53,,,11.13,,,13.4,air
6/7/18 5:54,,,7.42,,,18.9,2
6/7/18 5:55,,,7.4,,,19.7,4
6/7/18 5:56,,,7.61,,,19.7,6
6/7/18 5:57,,,7.72,,,17.8,8
6/7/18 5:58,,,7.61,,,18.4,10
6/7/18 5:59,,,7.47,,,19.4,12
6/27/18 4:41,,,9.6,,,17.1,air
6/27/18 4:42,,,7.97,,8.22,19.8,41
6/27/18 4:43,,,7.31,,8,20.6,42
6/27/18 4:44,,,7.36,,8.27,23.1,43
6/27/18 4:45,,,7.9,,8.47,21.8,44
6/27/18 4:46,,,8.36,,8.44,21.3,45
6/27/18 4:47,,,7.64,,8.2,21.9,46
6/27/18 4:48,,,8.5,,8.25,20.4,47
6/27/18 4:49,,,7.5,,8.37,23.1,48
6/27/18 4:50,,,8.14,,8.31,21.1,29
6/27/18 4:51,,,7.7,,8.18,21.5,30
6/27/18 4:52,,,8.44,,8.03,20.2,31
6/27/18 4:53,,,7.77,,8.13,22.8,32
6/27/18 4:54,,,7.59,,8.02,20.3,33
6/27/18 4:55,,,8.07,,8.2,20,34
6/27/18 4:56,,,7.42,,8.2,22.8,35
6/27/18 4:57,,,7.54,,8.2,22,36
6/27/18 4:58,,,7.33,,8.11,22,37
6/27/18 4:59,,,7.86,,8.45,22.8,38
6/27/18 5:00,,,7.88,,8.35,21.3,39
6/27/18 5:01,,,7.97,,8.05,20,40
6/27/18 5:04,,,10.24,,,17.9,air
6/27/18 5:05,,,7.37,,8.38,22.4,13
6/27/18 5:06,,,8.15,,8.2,19.9,14
6/27/18 5:07,,,7.42,,8.3,21.8,15
6/27/18 5:08,,,8.56,,8.14,21,16
6/27/18 5:09,,,8.02,,8.17,20.4,17
6/27/18 5:10,,,8.05,,8.23,20.9,18
6/27/18 5:11,,,7.46,,8.22,22.5,19
6/27/18 5:12,,,7.96,,8.29,21.5,20
6/27/18 5:13,,,8.72,,8.16,21.2,21
6/27/18 5:14,,,8.52,,8.29,20,22
6/27/18 5:15,,,7.59,,8.34,22.7,24
6/27/18 5:16,,,8.52,,8.31,20,23
6/27/18 5:17,,,8.71,,8.78,21.8,25
6/27/18 5:18,,,7.1,,8.12,22.6,26
6/27/18 5:19,,,7.68,,8.18,21.5,27
6/27/18 5:20,,,7.94,,8.11,20.2,28
6/27/18 5:25,,,10.6,,,17,air
6/27/18 5:26,,,7.85,,8.33,21.1,1
6/27/18 5:27,,,7.8,,8.22,21.3,2
6/27/18 5:28,,,7.99,,8.21,20.5,3
6/27/18 5:29,,,7.55,,8.31,22.4,4
6/27/18 5:30,,,7.81,,8.16,21.8,5
6/27/18 5:31,,,7.35,,8.21,22.4,6
6/27/18 5:32,,,7.85,,8.27,21.1,7
6/27/18 5:33,,,8.2,,8.33,20.3,8
6/27/18 5:34,,,7.85,,8.09,19.8,9
6/27/18 5:35,,,8.36,,8.44,20.6,10
6/27/18 5:36,,,7.54,,8.33,22.8,11
6/27/18 5:37,,,7.74,,8.19,21.8,12
6/27/2018 21.48,,,8.62,,8.53,24.8,1
6/27/2018 21.49,,,8.7,,8.48,25.1,2
6/27/2018 21.50,,,8.53,,8.5,25.9,13
6/27/2018 21.51,,,9.28,,8.47,23.2,14
6/27/2018 21.52,,,9.06,,8.55,24.2,29
6/27/2018 21.53,,,8.66,,8.42,24.8,30
6/27/2018 21.54,,,9.29,,8.41,22.6,41
6/27/2018 21.55,,,8.3,,8.14,23.4,42
6/27/2018 21.56,,,9.33,,8.73,25,44
6/27/2018 21.57,,,8.75,,8.45,25,46
6/27/2018 21.58,,,8.89,,,21,air
6/27/2018 21.59,,,8.62,,8.6,26.2,48
6/27/18 22:00,,,9.15,,8.52,23.4,47
6/27/18 22:01,,,9.04,,8.59,24.1,45
6/27/18 22:02,,,8.31,,8.47,26,43
6/27/18 22:03,,,8.36,,8.14,22.9,31
6/27/18 22:04,,,7.96,,8.32,25.7,32
6/27/18 22:05,,,8.24,,8.08,22.9,33
6/27/18 22:06,,,8.83,,8.49,23.9,34
6/27/18 22:07,,,8.58,,8.43,24.9,36
6/27/18 22:08,,,8.13,,8.41,26,35
6/27/18 22:09,,,8.54,,8.38,25.2,37
6/27/18 22:10,,,8.4,,8.69,25.9,38
6/27/18 22:11,,,9.23,,8.62,24.3,39
6/27/18 22:12,,,8.74,,8.27,23.1,40
6/27/18 22:13,,,8.6,,8.54,25,15
6/27/18 22:14,,,8.44,,8.33,24,16
6/27/18 22:15,,,8.77,,8.4,23.4,17
6/27/18 22:16,,,8.86,,8.51,24,18
6/27/18 22:17,,,8.11,,8.42,25.7,19
6/27/18 22:18,,,8.66,,8.53,24.8,20
6/27/18 22:19,,,8.34,,8.34,24.3,21
6/27/18 22:20,,,9.02,,8.67,25.1,22
6/27/18 22:21,,,8.42,,8.6,26.1,24
6/27/18 22:22,,,9.33,,8.58,23.1,23
6/27/18 22:23,,,9.14,,,21.3,air
6/27/18 22:24,,,9.76,,9,25.1,25
6/27/18 22:25,,,8.07,,8.39,26,26
6/27/18 22:26,,,8.31,,8.38,24.4,27
6/27/18 22:27,,,8.87,,8.39,23.4,28
6/27/18 22:28,,,8.45,,8.23,23.1,9
6/27/18 22:29,,,9.3,,8.7,24.1,10
6/27/18 22:30,,,8.45,,8.61,26.3,11
6/27/18 22:31,,,8.31,,8.41,25.2,12
6/27/18 22:32,,,7.92,,8.26,25,5
6/27/18 22:33,,,8.09,,8.38,25.6,6
6/27/18 22:34,,,8.45,,8.45,24.2,7
6/27/18 22:35,,,9.08,,8.58,23.4,8
6/27/18 22:36,,,9.6,,8.42,23.4,3
6/27/18 22:37,,,8.1,,8.46,25.6,4
6/27/18 22:38,,,10.86,,,17.1,air
6/28/18 4:30,,,10.37,,,15.5,air
6/28/18 4:31,,,7.97,,8.35,21.3,1
6/28/18 4:32,,,7.96,,8.33,21.6,2
6/28/18 4:33,,,8.15,,8.28,20.7,3
6/28/18 4:34,,,7.6,,8.31,21.6,4
6/28/18 4:35,,,7.4,,8.16,22.1,5
6/28/18 4:36,,,7.58,,8.25,22.6,6
6/28/18 4:37,,,8.11,,8.35,21.4,7
6/28/18 4:38,,,8.6,,8.46,20.6,8
6/28/18 4:39,,,8.02,,8.16,20.3,9
6/28/18 4:40,,,8.71,,8.55,21.1,10
6/28/18 4:41,,,7.91,,8.5,23.1,11
6/28/18 4:42,,,8.81,,8.3,22.1,12
6/28/18 4:43,,,7.78,,8.39,22.5,13
6/28/18 4:44,,,8.46,,8.31,19.9,14
6/28/18 4:45,,,8.01,,8.37,21.6,15
6/28/18 4:46,,,7.96,,8.19,21,16
6/28/18 4:47,,,8.21,,8.23,20.4,17
6/28/18 4:48,,,8.3,,8.33,20.9,18
6/28/18 4:49,,,7.6,,8.27,22.5,19
6/28/18 4:50,,,8.11,,8.38,21.7,20
6/28/18 4:51,,,7.82,,8.21,21,21
6/28/18 4:52,,,8.31,,8.48,21.9,22
6/28/18 4:53,,,7.1,,,19.8,air
6/28/18 4:54,,,8.71,,8.46,20.1,23
6/28/18 4:55,,,7.82,,8.45,22.6,24
6/28/18 4:56,,,9.04,,8.91,22,25
6/28/18 4:57,,,7.46,,8.28,22.7,26
6/28/18 4:58,,,7.82,,8.24,21.3,27
6/28/18 4:59,,,8.29,,8.25,20.3,28
6/28/18 5:00,,,8.45,,8.39,20.8,29
6/28/18 5:01,,,7.99,,8.27,21.5,30
6/28/18 5:02,,,7.9,,8.05,20,31
6/28/18 5:03,,,7.49,,8.18,22.6,32
6/28/18 5:04,,,7.79,,8,19.9,33
6/28/18 5:05,,,8.36,,8.32,20.9,34
6/28/18 5:06,,,7.51,,8.24,22.8,35
6/28/18 5:07,,,7.89,,8.25,21.8,36
6/28/18 5:08,,,7.88,,8.22,21.9,37
6/28/18 5:09,,,8.05,,8.54,22.7,38
6/28/18 5:10,,,8.55,,8.47,21,39
6/28/18 5:11,,,8.08,,8.13,19.9,40
6/28/18 5:12,,,8.56,,8.24,19.5,41
6/28/18 5:13,,,7.79,,8.04,20.4,42
6/28/18 5:14,,,7.53,,8.26,22.8,43
6/28/18 5:15,,,8.42,,8.57,21.5,44
6/28/18 5:16,,,8.52,,8.45,21,45
6/28/18 5:17,,,8.03,,8.25,21.7,46
6/28/18 5:18,,,8.42,,8.33,20,47
6/28/18 5:19,,,7.92,,8.44,22.8,48