tank,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-06-08 16:23,0.35,0.48,0.29,0,0.76,1.12,85.21,0.25,25.63
2,2018-06-08 16:25,1.09,0.22,0.65,0,0.7,1.95,85.89,0.23,25.74
3,2018-06-08 16:26,0,0.3,0,0,0.88,0.3,85.17,0.24,25.77
4,2018-06-08 16:27,0.76,0.51,0.12,0,0.86,1.38,85.18,0.25,25.82
5,2018-06-08 16:29,0.34,0.48,0,0,1.05,0.82,85.16,0.26,25.86
6,2018-06-08 16:31,0,0.67,0.03,0,1.03,0.7,85.39,0.24,25.94
7,2018-06-08 16:32,0,0.76,0,0,0.97,0.76,85.45,0.27,25.82
8,2018-06-08 16:33,0,0.19,0.31,0,0.81,0.51,85.9,0.25,25.96
9,2018-06-08 16:35,0,0.17,0,0.26,0.78,0.43,85.57,0.24,26.04
10,2018-06-08 16:37,0,0.63,0,0,0.89,0.63,85.62,0.23,26.01
11,2018-06-08 16:38,0.27,0.67,0,0,0.99,0.94,85.71,0.26,25.98
12,2018-06-08 16:39,0,0.58,0,0,1.06,0.58,85.61,0.24,26.08
13,2018-06-08 16:41,0.3,0.39,0,0.21,0.92,0.9,85.63,0,26.1
14,2018-06-08 16:42,0,0.32,0.29,0,0.83,0.61,86.3,0.26,26
15,2018-06-08 16:43,0,0.56,0,0.27,1.06,0.82,85.19,0.24,26.1
16,2018-06-08 16:45,0.84,0.33,0,0,0.88,1.18,85.61,0.26,26.04
17,2018-06-08 16:46,0,0.35,0.49,0,0.75,0.84,85.4,0.24,26.21
18,2018-06-08 16:48,0,0,1.07,0.32,0.78,1.39,84.68,0.24,26.15
19,2018-06-08 16:49,1.09,0.29,0,0,0.99,1.37,85.14,0.24,26.19
20,2018-06-08 16:50,1.56,0,0,0.64,0.39,2.2,85.4,0.25,26.18
21,2018-06-08 16:53,0.22,0.13,0.99,0.23,0.63,1.58,85.32,0.23,26.19
22,2018-06-08 16:55,1.52,0,0,0.38,0.79,1.91,85.86,0.25,26.11
23,2018-06-08 16:57,1.22,0.29,0.05,0,0.67,1.56,86.11,0.26,26.21
24,2018-06-08 16:59,0.12,0.53,0.7,0,0.83,1.35,85.56,0.23,26.21
25,2018-06-08 17:02,0,0.6,0,0,1.01,0.6,85.51,0.27,26.21
26,2018-06-08 17:03,0,0.44,0,0.14,1.1,0.59,85.27,0.24,26.23
27,2018-06-08 17:06,0.3,0.63,0.21,0,0.83,1.14,86.11,0.25,26.24
28,2018-06-08 17:07,0,0.17,0.46,0,0.94,0.63,85.28,0.24,26.24
29,2018-06-08 17:09,0,0.36,0,0.04,0.93,0.4,85.72,0.24,26.31
30,2018-06-08 17:10,1.05,0.17,0,0,0.88,1.22,85.8,0.26,26.23
31,2018-06-08 17:12,1.08,0.5,0,0,0.78,1.58,86.09,0.24,26.25
32,2018-06-08 17:13,0,0.75,0.61,0,0.8,1.36,86.03,0.24,26.35
33,2018-06-08 17:14,0,0.31,0.24,0,0.96,0.55,85.56,0.26,26.32
34,2018-06-08 17:16,0,0.55,0.11,0,0.98,0.67,85.79,0.23,26.33
35,2018-06-08 17:17,0,0.58,0,0.16,0.95,0.74,85.56,0.25,26.27
36,2018-06-08 17:18,0.05,0.53,0,0.13,0.96,0.71,85.8,0.25,26.31
37,2018-06-08 17:19,0,0.15,0.59,0.35,0.95,1.08,87.01,0.24,26.22
38,2018-06-08 17:21,0,0.41,0.19,0,0.84,0.6,85.36,0.23,26.3
39,2018-06-08 17:22,0.84,0.49,0,0,0.82,1.33,85.57,0.27,26.31
40,2018-06-08 17:23,0,0.09,0,0.45,1.01,0.53,85.28,0.23,26.29
41,2018-06-08 17:25,0.7,0.43,0,0.12,0.61,1.24,86.19,0.24,26.32
42,2018-06-08 17:27,0,0.2,0,0.43,0.86,0.63,85.72,0.22,26.26
43,2018-06-08 17:28,0,0.32,0,0.37,0.92,0.69,84.81,0.22,26.32
44,2018-06-08 17:29,0.16,0.56,0,0,0.93,0.72,85.74,0.23,26.34
45,2018-06-08 17:30,0.19,0.33,0,0,0.91,0.52,85.75,0.24,26.31
46,2018-06-08 17:31,1.6,0.14,1.36,0,1,3.1,85.35,0.26,26.31
47,2018-06-08 17:31,0.53,0.55,0.47,0,0.64,1.55,85.56,0.24,26.34
48,2018-06-08 17:32,0.65,0.11,0.71,0,0.6,1.47,84.86,0.23,26.17