Date/Time,tank,Green Algae,Bluegreen,Diatoms,Cryptophyta,#4,#5,#6,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
date,,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
2018-05-28 18:56,2,1.57,0.3,1.15,0,0,0,0,0.15,3.03,87.24,0.3,24.59
2018-05-28 18:58,3,2.68,0.06,1.38,0,0,0,0,0.3,4.13,86.65,0,24.7
2018-05-28 18:59,4,6.57,0,1.14,0,0,0,0,0.06,7.71,86.7,0.28,24.78
2018-05-28 19:00,5,2.81,0,2.58,0,0,0,0,0.1,5.39,77.5,0.3,24.73
2018-05-28 19:01,6,0,0,0.76,0.16,0,0,0,0.4,0.92,86.79,0.29,24.74
2018-05-28 19:02,7,3.94,0,1.55,0,0,0,0,0.1,5.49,86.49,0,24.81
2018-05-28 19:03,8,0.79,0,2.48,0,0,0,0,0.08,3.28,87.01,0.29,24.86
2018-05-28 19:05,9,2.05,0.02,0,0,0,0,0,0.17,2.06,87.29,0.3,24.88
2018-05-28 19:06,10,5.5,0,0,0,0,0,0,0.14,5.5,87.27,0.31,24.98
2018-05-28 19:07,11,3.56,0,0.3,0,0,0,0,0.22,3.85,86.69,0.31,24.98
2018-05-28 19:08,12,1.9,0.22,0.07,0,0,0,0,0.3,2.19,86.77,0.3,25
2018-05-28 19:10,13,5.28,0,0.88,0,0,0,0,0.06,6.15,86.33,0.29,25.03
2018-05-28 19:11,14,2.26,0,0,0.46,0,0,0,0.27,2.72,86.86,0.3,25.1
2018-05-28 19:12,15,1.99,0.02,2,0.07,0,0,0,0.17,4.09,87.58,0.29,25.05
2018-05-28 19:13,16,0.76,0,1.21,0,0,0,0,0.29,1.98,86.83,0.28,25
2018-05-28 19:14,17,1.71,0.02,0,0,0,0,0,0.5,1.74,86.73,0.3,25.01
2018-05-28 19:15,18,2.16,0,1.16,0,0,0,0,0.25,3.32,86.92,0.31,25.09
2018-05-28 19:16,19,3.81,0,0,0.29,0,0,0,0.15,4.11,86.63,0.31,25.14
2018-05-28 19:17,20,3.56,0,0,0,0,0,0,0.2,3.56,86.93,0.3,25.13
2018-05-28 19:18,21,1.96,0.14,0.31,0,0,0,0,0.16,2.41,87.18,0.3,25.18
2018-05-28 19:19,22,2.53,0.11,2.01,0,0,0,0,0.27,4.64,87.13,0,25.15
2018-05-28 19:20,23,0.66,0.04,2.05,0,0,0,0,0.26,2.74,86.59,0.3,25.16
2018-05-28 19:21,24,3.06,0,0.55,0,0,0,0,0.22,3.61,86.87,0.31,25.22
2018-05-28 19:22,25,5.51,0,1.7,0,0,0,0,0.03,7.2,86.98,0.3,25.19
2018-05-28 19:23,26,0.36,0,1.6,0.16,0,0,0,0.15,2.12,87.41,0.29,25.26
2018-05-28 19:24,27,4.98,0,1.9,0,0,0,0,0.09,6.88,86.85,0.29,25.27
2018-05-28 19:25,28,1.81,0.2,0,0,0,0,0,0.17,2,87.81,0.3,25.39
2018-05-28 19:26,29,3.11,0,0,0.24,0,0,0,0.21,3.35,86.63,0.29,25.4
2018-05-28 19:27,30,2.07,0.09,0,0,0,0,0,0.14,2.15,86.63,0.31,25.27
2018-05-28 19:28,31,1.56,0.04,1.49,0,0,0,0,0.14,3.09,87.28,0.3,25.33
2018-05-28 19:29,32,1.88,0.26,0.36,0,0,0,0,0.33,2.51,87.51,0.29,25.26
2018-05-28 19:30,33,0.95,0.01,1.31,0,0,0,0,0.19,2.26,87.47,0.3,25.35
2018-05-28 19:31,34,1.1,0.06,0,0.19,0,0,0,0.47,1.35,87.36,0.28,25.37
2018-05-28 19:32,35,2.6,0,0,0,0,0,0,0.34,2.6,87.28,0.29,25.37
2018-05-28 19:33,36,1.35,0,0,0.19,0,0,0,0.42,1.54,86.9,0.31,25.44
2018-05-28 19:35,37,6.66,0,1.66,0,0,0,0,0.08,8.32,86.54,0.29,25.4
2018-05-28 19:36,38,3.06,0,0,0,0,0,0,0.24,3.06,87.11,0.3,25.33
2018-05-28 19:38,39,0.93,0,1.18,0,0,0,0,0.26,2.11,86.5,0.31,25.47
2018-05-28 19:39,40,3.18,0,0.34,0,0,0,0,0.29,3.52,87.35,0.3,25.54
2018-05-28 19:40,41,2.51,0.2,0.35,0,0,0,0,0.28,3.06,87.2,0.3,25.51
2018-05-28 19:41,42,1.96,0.03,0,0,0,0,0,0.16,1.99,87.17,0,25.52
2018-05-28 19:43,43,2.66,0.17,0.28,0,0,0,0,0.2,3.11,87.43,0.31,25.55
2018-05-28 19:44,44,5.09,0,3.23,0,0,0,0,0.17,8.32,85.79,0.3,25.59
2018-05-28 19:45,45,3.22,0,0.57,0,0,0,0,0.02,3.79,86.63,0.28,25.56
2018-05-28 19:46,46,9.01,0,1.73,0,0,0,0,0,10.74,86.11,0.3,25.59
2018-05-28 19:48,48,2.25,0,1.13,0,0,0,0,0.12,3.38,86.88,0.29,25.62
2018-05-28 19:50,47,6.8,0,1.95,0,0,0,0,0.1,8.75,86.16,0.3,25.53
2018-05-28 19:53,1,1.88,0,0.13,0,0,0,0,0.31,2.01,86.39,0.29,25.67