tank,Date/Time,Green Algae,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample
,date,µg/l,µg/l,µg/l,r.u.,µg/l,%,m,°C
1,2018-09-06 15:16,26.85,3.01,0,1.21,1.23,31.08,79.68,0.29
2,2018-09-06 15:16,55.16,0.9,0,1,2.27,57.06,75.69,0.25
3,2018-09-06 15:16,20.98,1.85,0,1.03,1.09,23.86,82.46,0.25
4,2018-09-06 15:16,38.59,1.54,0,0.53,1.82,40.67,79.23,0.25
5,2018-09-06 15:16,27.76,0.66,0,1.6,1.9,30.02,80.56,0.25
6,2018-09-06 15:16,4.57,0.89,0,0.45,1.78,5.9,83.32,0.23
7,2018-09-06 15:16,45.19,2.24,0,0,1.17,47.43,68.7,0.25
8,2018-09-06 15:16,7.49,1.6,0,0,1.12,9.09,85.41,0.26
9,2018-09-06 15:16,10.32,0.53,0,0.72,1.18,11.57,85.81,0.26
10,2018-09-06 15:16,27.5,0,0,0.5,1.45,28,83.46,0.25
11,2018-09-06 15:16,63.05,1.1,0,0.46,3.16,64.6,80,0.27
12,2018-09-06 15:16,40.36,2.53,0,1.02,2.18,43.92,81.05,0.27
13,2018-09-06 15:16,33.32,4.6,0,0,1.61,37.92,81.14,0.26
14,2018-09-06 15:16,15.39,1.88,1.32,1.16,1.17,19.75,85.09,0.26
15,2018-09-06 15:16,57.15,0,0,2.02,2.55,59.17,78.52,0.26
16,2018-09-06 15:16,10.94,1.21,0,0.72,1.56,12.87,86.45,0.26
17,2018-09-06 15:16,33.42,0,4.03,0,0.93,37.45,85.58,0.25
18,2018-09-06 15:16,25.34,0,0,1.13,1.62,26.47,84.94,0.24
19,2018-09-06 15:16,40.05,3.66,0,1.32,1.54,45.04,78.85,0.27
20,2018-09-06 15:16,29.44,0,7.18,1.22,1.42,37.84,81.63,0.24
21,2018-09-06 15:16,,,,,,,,
22,2018-09-06 15:16,34.07,0.14,0,1.98,1.67,36.19,84.08,0.26
23,2018-09-06 15:16,25.62,0,0,1.12,1.58,26.74,84.16,0.24
24,2018-09-06 15:16,46.02,1.01,0,0.58,2.52,47.61,81.04,0.26
25,2018-09-06 15:16,32.54,3.19,0,1.5,2.19,37.23,82.39,0.24
26,2018-09-06 15:16,56.34,3.75,0,2.49,2.97,62.58,77.18,0.22
27,2018-09-06 15:16,31.17,3.47,0,0.47,1.79,35.12,80.37,0.24
28,2018-09-06 15:16,33.89,0,0,1.42,1.78,35.31,83.85,0.24
29,2018-09-06 15:16,37.84,1.89,0,0.06,2.06,39.78,85.59,0.24
30,2018-09-06 15:16,44.84,2.21,0,0.25,2.33,47.29,82.98,0.25
31,2018-09-06 15:16,22.24,1.45,0,0,1.71,23.69,86.62,0.25
32,2018-09-06 15:16,54.85,0.83,0,1.41,3.21,57.09,84.73,0.26
33,2018-09-06 15:16,10.09,1.1,0,0.93,1.08,12.13,87.59,0.25
34,2018-09-06 15:16,20.24,0,0,1.13,1.39,21.37,86.28,0.23
35,2018-09-06 15:16,14.77,5.51,0,0.91,2.2,21.19,85.96,0.26
36,2018-09-06 15:16,40.96,0.83,0,0.98,2.75,42.76,83.96,0.24
37,2018-09-06 15:16,35.56,1.05,0,1.36,2.37,37.98,85.38,0.24
38,2018-09-06 15:16,26.28,7.91,0,1.21,2.12,35.4,79.98,0.25
39,2018-09-06 15:16,46.99,1.96,0,1.35,2.69,50.31,81.21,0.26
40,2018-09-06 15:16,19.41,2.83,0,0.67,1.97,22.91,85.29,0.24
41,2018-09-06 15:16,24.07,0.26,0,0.61,1.23,24.94,86.58,0.26
42,2018-09-06 15:16,32.6,0,0,0.97,2.03,33.56,84.94,0.22
43,2018-09-06 15:16,24.29,1.39,0,1.15,2.38,26.83,85.79,0.25
44,2018-09-06 15:16,6.88,1.54,0,0.47,2.18,8.89,87.33,0.23
45,2018-09-06 15:16,13.43,1.04,0,0.8,1.34,15.28,87.07,0.25
46,2018-09-06 15:16,18.08,15.04,0,1.94,2.32,35.06,78.22,0.23
47,2018-09-06 15:16,13.33,0.22,0,1.88,1.38,15.43,86.63,0.24
48,2018-09-06 15:16,39.55,3.7,0,1.84,3,45.09,82.99,0.24